电压,电流,功率
227.2,0.494,79.1
227.3,0.496,79.5
227.3,0.495,79.4
227.3,0.496,79.5
227.3,0.495,79.1
227.3,0.494,79.1
227.3,0.494,79.1
227.3,0.495,79.2
227.2,0.494,79.1
227.3,0.495,79.1
227.2,0.494,79.1
227.2,0.495,79.2
227.2,0.494,79.1
227.2,0.495,79.1
227.2,0.496,79.2
227.2,0.495,79.1
227.2,0.495,79
227.2,0.495,79.2
227.2,0.494,79.1
227.2,0.494,79
227.2,0.495,79.2
227.2,0.496,79.1
227.2,0.495,79.1
227.2,0.495,79.1
227.2,0.495,79.2
227.2,0.496,79.1
227.2,0.495,79
227.2,0.495,79.1
227.2,0.496,79.2
227.2,0.495,79
227.2,0.495,79
227.2,0.496,79.3
227.2,0.494,79.1
227.2,0.495,79.1
227.1,0.495,79.2
227.1,0.493,79
227.2,0.496,79.1
227.2,0.496,79.2
227.2,0.494,79
227.2,0.497,79.2
227.2,0.494,78.9
227.2,0.495,79.2
227.1,0.496,79.2
227.2,0.494,79.1
227.1,0.496,79.1
227.1,0.496,79.2
227.1,0.494,79
227.1,0.494,79
227.1,0.495,79.1
227.1,0.495,79
227.1,0.496,79.2
227.1,0.496,79.3
227.1,0.495,79.1
227.1,0.496,79.2
227.1,0.495,79
227.1,0.496,79.1
227.1,0.495,79
227,0.496,79.1
227.1,0.496,79.1
227.1,0.495,79
227.1,0.495,79.1
227.1,0.496,79
227,0.496,79.1
227.1,0.495,79.1
227,0.495,79.1
227,0.495,79
227.1,0.495,79.1
227.1,0.494,79
227.1,0.495,79.1
227.1,0.496,79
227.1,0.495,79.2
227.1,0.494,78.9
227.1,0.495,79.1
227.1,0.495,79.1
227.1,0.495,79.1
227.1,0.495,79.1
227.1,0.494,78.9
227.1,0.496,79.1
227,0.495,79
227.1,0.495,78.9
227,0.496,79.2
227,0.495,79
227,0.494,78.9
227,0.496,79.1
227,0.495,79
227,0.495,79.1
227,0.495,79
227,0.495,79
227,0.496,79
227,0.496,79.1
227,0.495,79
227,0.495,79
227,0.496,79.1
227.1,0.495,79
227,0.497,79.1
227,0.494,79
227,0.495,79
227.1,0.495,79.1
227,0.494,78.9
227.1,0.495,79.2
227.1,0.495,79.1
227.1,0.497,79.4
227,0.496,79
227.1,0.494,79.1
227,0.493,79
227.1,0.494,79
227,0.496,79.1
227.1,0.494,79
227.1,0.496,79
227.1,0.495,79
227.1,0.495,79
227.1,0.495,79.1
227.1,0.496,79.1
227.1,0.495,79
227.1,0.496,79
227.1,0.496,79.1
227.1,0.494,79
227.1,0.495,79
227.1,0.495,79
227.1,0.494,78.9
227.1,0.495,79
227.1,0.494,79.1
227,0.495,79
227.1,0.495,79.2
227.1,0.494,78.9
227.1,0.494,78.9
227.1,0.495,79.1
227,0.494,79
227,0.494,79
227,0.495,79.1
227,0.495,78.9
227,0.495,79
227,0.495,79
227,0.495,79
227,0.496,79.1
226.9,0.495,79
227,0.496,79
227,0.495,79
227,0.494,79
226.9,0.495,79
227,0.494,78.9
226.9,0.496,79.1
226.9,0.495,79
226.9,0.496,79.1
226.9,0.495,78.9
226.9,0.495,79
226.9,0.495,79
226.9,0.495,79
226.9,0.495,79.1
226.9,0.494,78.9
226.9,0.496,79.1
226.8,0.496,79.4
226.9,0.495,78.9
226.8,0.495,79
226.9,0.495,79
226.8,0.495,79
226.8,0.495,79
226.8,0.494,78.9
226.8,0.494,79
226.8,0.495,79
226.8,0.494,79
226.8,0.495,79
226.8,0.497,79.1
226.8,0.494,78.9
226.8,0.494,78.9
226.7,0.495,79
226.8,0.495,79.1
226.7,0.495,78.9
226.8,0.494,79
226.7,0.494,78.9
226.7,0.495,79
226.7,0.494,79
226.7,0.495,79
226.7,0.496,79
226.7,0.495,79
226.7,0.495,79
226.7,0.496,79
226.7,0.496,79.1
226.7,0.494,79
226.8,0.496,79.1
226.8,0.494,78.9
226.7,0.494,79
226.8,0.494,78.9
226.8,0.496,79.1
226.8,0.494,78.9
226.8,0.496,79
226.7,0.495,79
226.8,0.496,79
226.7,0.495,79
226.8,0.496,79
226.7,0.495,79
226.7,0.495,79
226.7,0.495,79
226.7,0.495,79
226.7,0.495,79
226.7,0.494,78.9
226.7,0.495,79
226.7,0.495,79
226.8,0.495,78.9
