测量电压值（采集30分钟，每秒钟记录50次）,测量电流值（采集30分钟，每秒钟记录50次）,测量功率值（采集30分钟，每秒钟记录50次）
227.41,0.026343,4.6453
227.4,0.026397,4.6393
227.39,0.026412,4.6301
227.39,0.02633,4.6139
227.39,0.026323,4.6232
227.38,0.026424,4.6664
227.38,0.026463,4.659
227.38,0.026407,4.6576
227.37,0.026456,4.675
227.37,0.026431,4.6378
227.37,0.026409,4.6378
227.36,0.02662,4.6875
227.36,0.026412,4.6463
227.36,0.026475,4.6699
227.36,0.026375,4.6396
227.36,0.026507,4.6771
227.36,0.026262,4.6094
227.35,0.026248,4.6164
227.35,0.026437,4.6142
227.35,0.026251,4.6028
227.35,0.02628,4.6188
227.35,0.026413,4.6386
227.35,0.026289,4.6052
227.35,0.026401,4.6596
227.35,0.026429,4.6405
227.35,0.026238,4.6016
227.35,0.026434,4.639
227.35,0.0264,4.6336
227.35,0.026261,4.6148
227.34,0.026225,4.6136
227.34,0.026246,4.6515
227.34,0.026407,4.6544
227.34,0.02624,4.6113
227.34,0.026212,4.6004
227.34,0.026229,4.5937
227.33,0.026185,4.6072
227.33,0.026231,4.6276
227.33,0.026268,4.604
227.33,0.026196,4.5893
227.33,0.02622,4.6031
227.33,0.026328,4.6089
227.33,0.026292,4.6376
227.33,0.02642,4.6359
227.33,0.026446,4.6462
227.33,0.026404,4.6262
227.33,0.026219,4.5827
227.33,0.026445,4.6593
227.33,0.026383,4.637
227.33,0.026405,4.6367
227.33,0.026302,4.6043
227.33,0.026389,4.6464
227.32,0.0265,4.6441
227.32,0.026426,4.6809
227.32,0.026345,4.6558
227.32,0.026359,4.6365
227.32,0.026239,4.6212
227.32,0.02625,4.582
227.32,0.026206,4.6
227.32,0.026312,4.648
227.32,0.026364,4.6339
227.32,0.026364,4.637
227.32,0.02624,4.5816
227.32,0.026159,4.5918
227.32,0.026214,4.602
227.32,0.026314,4.6328
227.32,0.02633,4.6404
227.32,0.026258,4.6223
227.32,0.026217,4.6044
227.32,0.026286,4.6131
227.32,0.026369,4.6272
227.32,0.026375,4.6392
227.32,0.026394,4.6185
227.31,0.02618,4.5793
227.31,0.026308,4.6367
227.31,0.026152,4.6026
227.31,0.026456,4.6535
227.31,0.026376,4.6388
227.31,0.026499,4.654
227.31,0.026293,4.6038
227.31,0.026121,4.5831
227.31,0.026415,4.6328
227.31,0.026194,4.6054
227.31,0.026229,4.6091
227.31,0.026485,4.6546
227.31,0.02648,4.6507
227.31,0.026266,4.6162
227.31,0.026369,4.653
227.31,0.026411,4.6581
227.31,0.026283,4.6032
227.31,0.026365,4.6298
227.31,0.026271,4.6146
227.31,0.026267,4.6247
227.31,0.026399,4.656
227.31,0.026141,4.5724
227.31,0.026337,4.6226
227.31,0.026313,4.6352
227.3,0.026365,4.6322
227.3,0.026391,4.6428
227.3,0.026442,4.6451
227.3,0.026317,4.6016
227.3,0.026467,4.6514
227.3,0.026388,4.6429
227.3,0.026374,4.6115
227.3,0.026363,4.6262
227.3,0.026413,4.6522
227.3,0.026555,4.6861
227.3,0.026263,4.6145
227.3,0.026362,4.6455
227.3,0.026417,4.638
227.3,0.026341,4.6341
227.3,0.026511,4.6379
227.3,0.026495,4.6638
227.3,0.026281,4.6223
227.3,0.026296,4.594
227.3,0.026335,4.6157
227.3,0.026283,4.6341
227.3,0.026302,4.6288
227.3,0.026319,4.6146
227.3,0.026339,4.6464
227.3,0.026165,4.6081
227.3,0.026178,4.5903
227.3,0.026408,4.6401
227.3,0.026548,4.6661
227.3,0.02651,4.6593
227.3,0.026283,4.6224
227.3,0.026303,4.6056
227.29,0.026389,4.6348
227.29,0.02641,4.6328
227.29,0.026406,4.6215
227.29,0.026225,4.5812
227.29,0.026494,4.6405
227.29,0.026262,4.6034
227.29,0.026245,4.6089
227.29,0.026152,4.5684
227.29,0.026444,4.6617
227.29,0.026269,4.5975
227.29,0.026271,4.6176
227.29,0.026206,4.6113
227.29,0.026422,4.6485
227.29,0.02641,4.6472
227.29,0.026429,4.6303
227.29,0.026259,4.6129
227.29,0.026346,4.6177
227.29,0.026417,4.6558
227.29,0.026327,4.6209
227.29,0.026206,4.6032
227.29,0.026341,4.6282
227.29,0.026237,4.6058
227.29,0.026293,4.6119
227.29,0.026205,4.6054
227.29,0.026509,4.6376
227.29,0.026386,4.6564
227.29,0.026396,4.6503
227.29,0.026269,4.6108
227.29,0.02637,4.6078
227.29,0.026269,4.6167
227.29,0.026275,4.6204
227.29,0.026378,4.6299
227.29,0.026463,4.6673
227.29,0.026345,4.6133
227.29,0.026397,4.6189
227.29,0.02635,4.6395
227.29,0.026482,4.642
227.29,0.026355,4.652
227.29,0.0262,4.6079
227.29,0.026297,4.6308
227.28,0.026195,4.6004
227.28,0.026429,4.6639
227.28,0.02655,4.6489
227.28,0.026366,4.6504
227.28,0.026248,4.6143
227.28,0.026133,4.6029
227.28,0.026352,4.6137
227.28,0.026485,4.6672
227.28,0.026334,4.6471
227.28,0.026258,4.5978
227.28,0.026469,4.6662
227.28,0.026403,4.6196
227.28,0.026405,4.6333
227.28,0.026156,4.5668
227.28,0.02619,4.5953
227.28,0.026254,4.6258
227.28,0.026289,4.6247
227.28,0.026333,4.6238
227.28,0.026444,4.6509
227.28,0.026312,4.6291
227.28,0.026424,4.6149
227.28,0.026261,4.6001
227.28,0.026098,4.5846
227.28,0.026224,4.6021
227.28,0.026212,4.5995
227.28,0.026268,4.6045
227.28,0.02632,4.6338
227.28,0.026503,4.6436
227.28,0.026258,4.5959
227.28,0.02646,4.6456
227.28,0.026279,4.6327
227.28,0.02623,4.6059
227.28,0.026366,4.6239
227.28,0.026285,4.6309
227.28,0.026404,4.6396
227.28,0.02624,4.6228
227.28,0.026346,4.6341
227.28,0.026432,4.6503
227.28,0.026322,4.6205
227.28,0.026319,4.6338
227.28,0.026534,4.6796
227.28,0.02643,4.6577
227.27,0.026237,4.6026
227.27,0.026188,4.6132
227.27,0.026434,4.6276
227.27,0.026348,4.6233
227.27,0.026454,4.6576
227.27,0.026182,4.6027
227.27,0.02638,4.6298
227.27,0.026149,4.5831
227.27,0.026319,4.6232
227.27,0.026315,4.6204
227.27,0.026202,4.6163
227.27,0.026225,4.618
227.27,0.026301,4.6039
227.27,0.026419,4.6511
227.27,0.026439,4.6614
227.27,0.026291,4.6181
227.27,0.026314,4.619
227.27,0.026329,4.6178
227.27,0.02628,4.6048
227.27,0.026308,4.6367
227.27,0.026282,4.6222
227.27,0.02644,4.6538
227.27,0.026237,4.5969
227.27,0.026231,4.6132
227.27,0.026228,4.6253
227.27,0.026302,4.6266
227.27,0.026226,4.5983
227.27,0.026305,4.6107
227.27,0.02635,4.6285
227.27,0.026424,4.638
227.27,0.026282,4.6205
227.27,0.026337,4.6178
227.27,0.026303,4.6406
227.27,0.026439,4.6416
227.27,0.026288,4.6346
227.27,0.026413,4.6479
227.27,0.026054,4.5854
227.27,0.026397,4.6512
227.27,0.026397,4.6326
227.27,0.026348,4.623
227.27,0.026444,4.6376
227.27,0.026462,4.6576
227.27,0.02619,4.6022
227.27,0.026365,4.6326
227.27,0.02639,4.6185
227.27,0.026496,4.662
227.27,0.026317,4.6078
227.27,0.026354,4.624
227.27,0.026404,4.6337
227.27,0.026195,4.5834
227.27,0.026537,4.6312
227.27,0.02614,4.5949
227.27,0.026345,4.6314
227.27,0.026281,4.6222
227.27,0.026281,4.6423
227.27,0.026252,4.6185
227.27,0.026244,4.643
227.26,0.026352,4.6407
227.26,0.026248,4.5999
227.26,0.026251,4.6232
227.26,0.026316,4.6314
227.26,0.026393,4.6449
227.26,0.026244,4.6083
227.26,0.026393,4.6388
227.26,0.026324,4.6447
227.26,0.026277,4.6179
227.26,0.026465,4.6293
227.26,0.026351,4.6454
227.26,0.026342,4.6213
227.26,0.026308,4.6363
227.26,0.026312,4.6559
227.26,0.026361,4.6303
227.26,0.026216,4.6024
227.26,0.02625,4.6215
227.26,0.02642,4.6275
227.26,0.026259,4.6313
227.26,0.026385,4.6391
227.26,0.02635,4.6259
227.26,0.02634,4.6348
227.26,0.026322,4.6026
227.26,0.02635,4.6209
227.26,0.026404,4.6663
227.26,0.026359,4.5988
227.26,0.026319,4.6322
227.26,0.026426,4.6376
227.26,0.026278,4.6092
227.26,0.026241,4.6021
227.26,0.026247,4.5858
227.26,0.026412,4.6199
227.26,0.026288,4.6012
227.26,0.026407,4.6268
227.26,0.026366,4.6438
227.26,0.026344,4.6127
227.26,0.026379,4.6292
227.26,0.026445,4.6387
227.26,0.026534,4.6693
227.26,0.026249,4.6077
227.26,0.026441,4.6496
227.26,0.026527,4.655
227.26,0.026327,4.6108
227.26,0.026387,4.659
227.26,0.026341,4.6462
227.26,0.026432,4.6402
227.26,0.026445,4.6314
227.26,0.026378,4.6181
227.26,0.026371,4.6363
227.26,0.026417,4.6444
227.26,0.026334,4.635
227.26,0.026293,4.6165
227.26,0.02632,4.6235
227.26,0.026271,4.6202
227.26,0.026376,4.6328
227.26,0.02638,4.6219
227.26,0.026363,4.6406
227.26,0.026441,4.6398
227.26,0.026203,4.5785
227.26,0.026364,4.6548
227.25,0.026327,4.6232
227.25,0.02624,4.598
227.25,0.026426,4.627
227.25,0.02639,4.6472
227.25,0.026251,4.6312
227.25,0.026319,4.6494
227.25,0.026334,4.6159
227.25,0.026215,4.6201
227.25,0.026246,4.6024
227.25,0.026436,4.6186
227.25,0.026328,4.6263
227.25,0.026216,4.6007
227.25,0.026266,4.6256
227.25,0.026527,4.6411
227.25,0.026378,4.6475
227.25,0.026285,4.6127
227.25,0.026296,4.6348
227.25,0.02622,4.6148
227.25,0.026291,4.6155
227.25,0.026347,4.6174
227.25,0.026332,4.6311
227.25,0.026334,4.6264
227.25,0.026415,4.6199
227.25,0.02629,4.6156
227.25,0.026183,4.5913
227.25,0.026164,4.5987
227.25,0.026357,4.6385
227.25,0.026317,4.6178
227.25,0.026371,4.6614
227.25,0.026286,4.629
227.25,0.02632,4.6402
227.25,0.026365,4.6384
227.25,0.026424,4.6594
227.25,0.026381,4.6452
227.25,0.026445,4.6378
227.25,0.026249,4.6024
227.25,0.026415,4.6442
227.25,0.02627,4.6091
227.25,0.026161,4.583
227.25,0.026487,4.6574
227.25,0.026311,4.6418
227.25,0.026327,4.616
227.25,0.026246,4.6278
227.25,0.026115,4.6007
227.25,0.02642,4.6
227.25,0.02627,4.582
227.25,0.026206,4.6034
227.25,0.026296,4.6237
227.25,0.026468,4.6312
227.25,0.026411,4.6498
227.25,0.026246,4.6014
227.25,0.026315,4.6197
227.25,0.026374,4.6446
227.25,0.026212,4.596
227.25,0.026319,4.6249
227.25,0.026413,4.6287
227.25,0.026259,4.615
227.25,0.026449,4.6574
227.25,0.026248,4.6113
227.25,0.026345,4.6173
227.25,0.026275,4.6049
227.25,0.026375,4.6176
227.25,0.026255,4.606
227.25,0.026384,4.6303
227.25,0.026396,4.6334
227.25,0.026357,4.6212
227.25,0.026403,4.6462
227.25,0.026301,4.6163
227.25,0.026281,4.6005
227.25,0.026366,4.6419
227.25,0.02625,4.6295
227.25,0.026409,4.6592
227.24,0.026235,4.603
227.24,0.026389,4.6324
227.24,0.026193,4.596
227.24,0.026285,4.6169
227.24,0.026331,4.6198
227.24,0.026371,4.6607
227.24,0.026414,4.6151
227.24,0.026405,4.6161
227.24,0.026171,4.5861
227.24,0.026274,4.6095
227.24,0.026141,4.5873
227.24,0.026241,4.5794
227.24,0.026183,4.5966
227.24,0.026302,4.6401
227.24,0.02642,4.6513
227.24,0.026326,4.6313
227.24,0.02639,4.6402
227.24,0.026268,4.5911
227.24,0.026325,4.6415
227.24,0.026187,4.6169
227.24,0.026445,4.6484
227.24,0.026206,4.6072
227.24,0.026373,4.6484
227.24,0.02638,4.643
227.24,0.026274,4.5965
227.24,0.026195,4.587
227.24,0.026359,4.6242
227.24,0.026341,4.6194
227.24,0.026074,4.6034
227.24,0.026149,4.5807
227.24,0.026349,4.6062
227.24,0.02631,4.633
227.24,0.026368,4.6192
227.24,0.026286,4.6199
227.24,0.026323,4.6231
227.24,0.026318,4.6583
227.24,0.026453,4.6491
227.24,0.026383,4.6443
227.24,0.026099,4.6034
227.24,0.026219,4.5994
227.24,0.026526,4.6572
